"County","State","Outbreak Date","Flock Type","Flock_Size"
"Fresno","California","11-19-2024","Commercial Broiler Production","172800"
"Merced","California","11-19-2024","Commercial Turkey Meat Bird","38200"
"Martin","Minnesota","11-18-2024","WOAH Non-Poultry","40"
"Honolulu","Hawaii","11-18-2024","WOAH Non-Poultry","9"
"Martin","Minnesota","11-18-2024","WOAH Non-Poultry","30"
"Union","North Carolina","11-18-2022","WOAH Non-Poultry","50"
"Utah","Utah","11-18-2022","WOAH Non-Poultry","270"
"Fall River","South Dakota","11-17-2023","WOAH Non-Poultry","80"
"Berks","Pennsylvania","11-17-2022","WOAH Non-Poultry","30"
"Broward","Florida","11-17-2022","WOAH Non-Poultry","20"
"Benton","Iowa","11-16-2023","WOAH Non-Poultry","90"
"Duval","Florida","11-16-2023","WOAH Non-Poultry","50"
"Linn","Oregon","11-16-2023","Commercial Broiler Production","630700"
"Stearns","Minnesota","11-16-2023","Commercial Turkey Meat Bird","43100"
"Marion","Oregon","11-16-2023","Commercial Broiler Production","123500"
"Hillsborough","Florida","11-16-2022","WOAH Non-Poultry","100"
"Seminole","Florida","11-16-2022","WOAH Poultry","100"
"Fresno","California","11-16-2022","Commercial Duck Breeder","34700"
"Piute","Utah","11-15-2024","Commercial Turkey Meat Bird","35000"
"Honolulu","Hawaii","11-15-2024","WOAH Non-Poultry","70"
"Stanislaus","California","11-15-2024","Commercial Turkey Meat Bird","21500"
"Edmunds","South Dakota","11-15-2023","Commercial Turkey Breeder Replacement Hens","24500"
"Lamoure","North Dakota","11-15-2023","Commercial Turkey Meat Bird","25100"
"Mcintosh","North Dakota","11-15-2023","WOAH Poultry","100"
"Cass","Michigan","11-15-2023","WOAH Non-Poultry","20"
"Bledsoe","Tennessee","11-15-2022","Commercial Broiler Breeder","20900"
"Duval","Florida","11-15-2022","WOAH Non-Poultry","30"
"Otter Tail","Minnesota","11-15-2022","Commercial Turkey Meat Bird","28200"
"Kings","California","11-14-2024","Commercial Broiler Production","279300"
"Fresno","California","11-14-2024","Commercial Broiler Production","259000"
"Kings","California","11-14-2024","WOAH Non-Poultry","8"
