"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Teller County, Colorado","24,707","24,744","24,945","24,860","24,617"
" Washington County, Colorado","4,817","4,813","4,868","4,847","4,855"
" Weld County, Colorado","328,987","331,458","339,897","350,266","359,442"
" Yuma County, Colorado","9,981","9,971","9,925","9,895","9,862"
" Capitol Planning Region, Connecticut","976,275","962,436","970,142","972,068","975,328"
" Greater Bridgeport Planning Region, Connecticut","325,774","324,387","326,752","327,125","327,651"
" Lower Connecticut River Valley Planning Region, Connecticut","174,225","173,268","175,430","175,982","176,215"
" Naugatuck Valley Planning Region, Connecticut","450,435","449,285","452,281","453,590","456,128"
" Northeastern Connecticut Planning Region, Connecticut","95,336","95,222","95,605","96,148","96,692"
" Northwest Hills Planning Region, Connecticut","112,465","112,202","112,953","113,277","113,463"
" South Central Connecticut Planning Region, Connecticut","570,455","564,076","568,450","568,402","568,158"
" Southeastern Connecticut Planning Region, Connecticut","280,428","278,342","278,820","279,257","279,634"
" Western Connecticut Planning Region, Connecticut","620,519","618,368","623,258","622,857","623,907"
" Kent County, Delaware","181,858","182,315","185,043","187,758","189,789"
" New Castle County, Delaware","570,713","570,918","572,029","575,254","578,592"
" Sussex County, Delaware","237,375","238,629","247,809","256,447","263,509"
" District of Columbia, District of Columbia","689,548","670,839","669,037","670,949","678,972"
" Alachua County, Florida","278,474","279,737","281,889","284,041","285,994"
" Baker County, Florida","28,255","28,116","28,669","27,786","28,368"
" Bay County, Florida","175,208","174,525","179,520","185,210","190,769"
" Bradford County, Florida","28,302","28,222","28,050","27,296","27,858"
" Brevard County, Florida","606,621","608,775","617,900","630,707","643,979"
" Broward County, Florida","1,944,381","1,943,398","1,935,575","1,946,889","1,962,531"
" Calhoun County, Florida","13,644","13,707","13,518","13,465","13,470"
" Charlotte County, Florida","186,825","187,995","194,934","202,582","206,134"
" Citrus County, Florida","153,849","154,568","158,167","162,508","166,696"
" Clay County, Florida","218,248","218,951","222,648","226,634","232,439"
" Collier County, Florida","375,760","377,310","387,226","397,516","404,310"
" Columbia County, Florida","69,694","69,740","69,932","71,870","73,063"
" DeSoto County, Florida","33,976","34,086","34,333","35,320","35,979"
" Dixie County, Florida","16,756","16,687","16,933","17,120","17,465"
" Duval County, Florida","995,566","997,784","1,002,774","1,017,011","1,030,822"
" Escambia County, Florida","321,900","322,568","323,459","323,860","326,928"
" Flagler County, Florida","115,372","116,028","120,974","126,758","131,439"
