"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Cass County, Michigan","51,597","51,559","51,527","51,477","51,642"
" Charlevoix County, Michigan","26,056","26,041","26,199","26,173","26,159"
" Cheboygan County, Michigan","25,586","25,587","25,754","25,964","26,048"
" Chippewa County, Michigan","36,783","36,787","35,849","36,207","36,264"
" Clare County, Michigan","30,863","30,843","31,131","31,307","31,316"
" Clinton County, Michigan","79,130","79,170","79,464","79,652","79,720"
" Crawford County, Michigan","12,991","12,992","13,277","13,434","13,538"
" Delta County, Michigan","36,903","36,870","36,825","36,781","36,790"
" Dickinson County, Michigan","25,955","25,904","25,819","25,943","25,982"
" Eaton County, Michigan","109,165","109,175","108,908","108,854","108,820"
" Emmet County, Michigan","34,111","34,113","34,297","34,215","34,123"
" Genesee County, Michigan","406,217","405,777","404,627","401,923","401,522"
" Gladwin County, Michigan","25,387","25,378","25,475","25,621","25,853"
" Gogebic County, Michigan","14,376","14,346","14,367","14,377","14,224"
" Grand Traverse County, Michigan","95,251","95,425","95,969","96,298","96,421"
" Gratiot County, Michigan","41,762","41,683","41,286","41,104","41,368"
" Hillsdale County, Michigan","45,754","45,731","45,625","45,735","45,587"
" Houghton County, Michigan","37,354","37,237","37,507","37,160","37,599"
" Huron County, Michigan","31,398","31,364","31,307","31,145","30,927"
" Ingham County, Michigan","284,907","284,675","271,224","283,477","284,637"
" Ionia County, Michigan","66,791","66,870","66,823","66,836","66,262"
" Iosco County, Michigan","25,227","25,184","25,350","25,473","25,373"
" Iron County, Michigan","11,633","11,634","11,610","11,705","11,740"
" Isabella County, Michigan","64,396","64,518","64,248","64,366","64,118"
" Jackson County, Michigan","160,370","160,231","160,162","159,758","159,424"
" Kalamazoo County, Michigan","261,677","261,796","260,523","260,892","262,215"
" Kalkaska County, Michigan","17,941","17,931","17,994","18,244","18,490"
" Kent County, Michigan","657,977","658,492","658,852","658,920","661,354"
" Keweenaw County, Michigan","2,047","2,060","2,108","2,155","2,172"
" Lake County, Michigan","12,098","12,094","12,274","12,651","12,734"
" Lapeer County, Michigan","88,620","88,583","88,662","88,632","88,977"
" Leelanau County, Michigan","22,300","22,308","22,627","22,883","23,019"
" Lenawee County, Michigan","99,422","99,325","99,100","98,280","97,520"
" Livingston County, Michigan","193,861","193,968","195,333","196,134","196,757"
" Luce County, Michigan","6,414","6,412","5,977","6,274","6,435"
" Mackinac County, Michigan","10,830","10,816","10,907","10,962","10,851"
" Macomb County, Michigan","881,214","880,238","877,646","874,235","875,101"
" Manistee County, Michigan","25,030","25,066","25,328","25,365","25,562"
" Marquette County, Michigan","66,013","66,012","65,739","66,548","66,999"
" Mason County, Michigan","29,053","29,033","29,339","29,318","29,159"
" Mecosta County, Michigan","39,706","39,790","40,048","40,782","41,099"
" Menominee County, Michigan","23,499","23,451","23,317","23,225","22,945"
" Midland County, Michigan","83,487","83,478","83,479","83,762","84,039"
" Missaukee County, Michigan","15,055","15,065","15,173","15,232","15,311"
" Monroe County, Michigan","154,802","154,896","155,534","155,235","155,045"
" Montcalm County, Michigan","66,604","66,635","67,320","67,209","68,154"
" Montmorency County, Michigan","9,158","9,170","9,302","9,557","9,678"
" Muskegon County, Michigan","174,736","174,784","175,550","175,539","176,564"
" Newaygo County, Michigan","49,982","50,111","50,413","50,728","51,108"
" Oakland County, Michigan","1,274,402","1,272,493","1,272,630","1,271,025","1,270,426"
" Oceana County, Michigan","26,656","26,712","26,860","26,920","26,981"
" Ogemaw County, Michigan","20,768","20,780","20,774","20,919","20,990"
" Ontonagon County, Michigan","5,813","5,804","5,870","5,921","5,906"
" Osceola County, Michigan","22,892","22,909","23,196","23,279","23,330"
" Oscoda County, Michigan","8,220","8,235","8,320","8,391","8,545"
" Otsego County, Michigan","25,089","25,133","25,324","25,561","25,747"
" Ottawa County, Michigan","296,203","296,907","298,393","300,918","303,372"
" Presque Isle County, Michigan","12,988","13,005","13,172","13,343","13,285"
" Roscommon County, Michigan","23,455","23,472","23,653","23,682","23,863"
" Saginaw County, Michigan","190,129","189,882","189,516","188,373","187,782"
" St. Clair County, Michigan","160,379","160,380","160,205","159,668","159,874"
" St. Joseph County, Michigan","60,942","60,941","60,844","60,778","60,878"
" Sanilac County, Michigan","40,612","40,499","40,528","40,482","40,368"
" Schoolcraft County, Michigan","8,050","8,057","8,048","8,174","8,149"
" Shiawassee County, Michigan","68,095","68,010","67,991","67,967","68,025"
" Tuscola County, Michigan","53,322","53,312","53,034","52,908","52,826"
" Van Buren County, Michigan","75,585","75,574","75,678","75,669","75,798"
" Washtenaw County, Michigan","372,258","371,834","365,013","366,504","365,536"
" Wayne County, Michigan","1,793,914","1,789,586","1,774,807","1,758,942","1,751,169"
" Wexford County, Michigan","33,673","33,693","33,898","34,018","34,122"
" Aitkin County, Minnesota","15,706","15,722","15,957","16,142","16,102"
" Anoka County, Minnesota","363,904","364,499","367,802","369,108","372,441"
" Becker County, Minnesota","35,172","35,193","35,336","35,363","35,283"
" Beltrami County, Minnesota","46,238","46,255","46,481","46,511","46,718"
" Benton County, Minnesota","41,376","41,355","41,533","41,509","41,600"
" Big Stone County, Minnesota","5,168","5,158","5,167","5,149","5,105"
" Blue Earth County, Minnesota","69,114","69,204","69,380","69,603","70,006"
" Brown County, Minnesota","25,920","25,914","25,899","25,762","25,628"
" Carlton County, Minnesota","36,191","36,185","36,440","36,544","36,825"
" Carver County, Minnesota","106,919","107,297","108,859","110,120","111,057"
" Cass County, Minnesota","30,090","30,168","30,682","31,308","31,446"
" Chippewa County, Minnesota","12,605","12,608","12,372","12,269","12,172"
" Chisago County, Minnesota","56,619","56,716","57,549","57,898","58,535"
" Clay County, Minnesota","65,316","65,344","65,651","65,860","66,258"
" Clearwater County, Minnesota","8,528","8,578","8,582","8,638","8,644"
" Cook County, Minnesota","5,601","5,597","5,629","5,721","5,639"
" Cottonwood County, Minnesota","11,513","11,516","11,594","11,382","11,319"
" Crow Wing County, Minnesota","66,119","66,277","67,342","67,884","68,304"
" Dakota County, Minnesota","439,878","440,423","442,730","443,272","447,440"
" Dodge County, Minnesota","20,866","20,889","20,952","20,992","21,088"
" Douglas County, Minnesota","38,996","39,087","39,298","39,684","39,953"
" Faribault County, Minnesota","13,919","13,898","13,906","13,930","13,873"
" Fillmore County, Minnesota","21,237","21,243","21,331","21,454","21,522"
" Freeborn County, Minnesota","30,893","30,896","30,803","30,683","30,515"
" Goodhue County, Minnesota","47,580","47,578","48,042","48,041","48,035"
" Grant County, Minnesota","6,074","6,093","6,149","6,121","6,139"
" Hennepin County, Minnesota","1,281,571","1,281,649","1,270,055","1,257,066","1,258,713"
" Houston County, Minnesota","18,846","18,849","18,819","18,727","18,582"
" Hubbard County, Minnesota","21,350","21,397","21,749","21,963","22,132"
" Isanti County, Minnesota","41,139","41,396","41,962","42,711","43,182"
" Itasca County, Minnesota","45,014","45,034","45,099","45,194","45,365"
" Jackson County, Minnesota","9,994","9,995","10,005","9,898","9,919"
" Kanabec County, Minnesota","16,029","16,053","16,170","16,449","16,602"
" Kandiyohi County, Minnesota","43,726","43,722","43,809","43,771","43,813"
" Kittson County, Minnesota","4,227","4,208","4,178","4,086","4,060"
" Koochiching County, Minnesota","12,064","12,031","11,943","11,848","11,751"
" Lac qui Parle County, Minnesota","6,719","6,699","6,700","6,656","6,630"
" Lake County, Minnesota","10,903","10,912","11,004","10,912","10,855"
" Lake of the Woods County, Minnesota","3,765","3,765","3,826","3,886","3,778"
" Le Sueur County, Minnesota","28,667","28,637","28,900","29,124","29,255"
" Lincoln County, Minnesota","5,641","5,625","5,576","5,576","5,521"
" Lyon County, Minnesota","25,520","25,423","25,492","25,433","25,427"
" McLeod County, Minnesota","36,771","36,755","36,815","36,734","36,785"
" Mahnomen County, Minnesota","5,408","5,380","5,403","5,339","5,280"
" Marshall County, Minnesota","9,033","9,027","8,997","8,889","8,810"
" Martin County, Minnesota","20,027","19,987","19,923","19,656","19,657"
" Meeker County, Minnesota","23,404","23,437","23,403","23,526","23,490"
" Mille Lacs County, Minnesota","26,473","26,468","26,913","27,295","27,427"
" Morrison County, Minnesota","34,026","34,014","34,079","34,237","34,250"
" Mower County, Minnesota","40,033","40,059","40,219","40,050","40,058"
" Murray County, Minnesota","8,168","8,166","8,133","8,040","8,049"
" Nicollet County, Minnesota","34,449","34,494","34,348","34,343","34,242"
" Nobles County, Minnesota","22,289","22,205","22,070","21,958","21,727"
" Norman County, Minnesota","6,443","6,436","6,441","6,371","6,329"
" Olmsted County, Minnesota","162,850","163,037","163,742","164,036","164,784"
" Otter Tail County, Minnesota","60,095","60,099","60,231","60,544","60,626"
" Pennington County, Minnesota","13,988","13,943","13,781","13,816","13,714"
" Pine County, Minnesota","28,889","28,899","29,414","29,533","30,197"
" Pipestone County, Minnesota","9,420","9,417","9,354","9,327","9,245"
" Polk County, Minnesota","31,185","31,076","30,819","30,725","30,412"
" Pope County, Minnesota","11,306","11,325","11,410","11,420","11,400"
" Ramsey County, Minnesota","552,355","551,716","544,025","537,303","536,075"
" Red Lake County, Minnesota","3,934","3,938","3,945","3,881","3,911"
" Redwood County, Minnesota","15,427","15,418","15,388","15,358","15,288"
" Renville County, Minnesota","14,724","14,694","14,605","14,473","14,348"
" Rice County, Minnesota","67,101","67,102","67,341","67,523","67,948"
" Rock County, Minnesota","9,693","9,676","9,685","9,554","9,551"
" Roseau County, Minnesota","15,330","15,303","15,274","15,334","15,252"
" St. Louis County, Minnesota","200,233","200,083","199,521","199,558","200,514"
" Scott County, Minnesota","150,916","151,347","153,611","154,423","155,814"
" Sherburne County, Minnesota","97,189","97,593","99,211","100,540","102,206"
" Sibley County, Minnesota","14,825","14,793","14,923","14,928","15,084"
" Stearns County, Minnesota","158,296","158,480","159,204","160,242","160,977"
" Steele County, Minnesota","37,406","37,384","37,427","37,429","37,421"
" Stevens County, Minnesota","9,674","9,666","9,689","9,615","9,728"
" Swift County, Minnesota","9,830","9,800","9,782","9,771","9,719"
" Todd County, Minnesota","25,266","25,294","25,288","25,533","25,667"
" Traverse County, Minnesota","3,357","3,354","3,272","3,242","3,136"
" Wabasha County, Minnesota","21,384","21,407","21,515","21,652","21,683"
" Wadena County, Minnesota","14,062","14,117","14,141","14,236","14,241"
" Waseca County, Minnesota","18,963","18,963","19,002","18,914","18,981"
" Washington County, Minnesota","267,557","268,389","272,865","276,169","278,936"
" Watonwan County, Minnesota","11,262","11,245","11,164","11,106","11,077"
" Wilkin County, Minnesota","6,508","6,479","6,411","6,358","6,306"
" Winona County, Minnesota","49,666","49,647","49,788","49,469","49,721"
" Wright County, Minnesota","141,349","141,883","145,204","148,118","151,150"
" Yellow Medicine County, Minnesota","9,523","9,495","9,439","9,484","9,467"
" Adams County, Mississippi","29,538","29,423","28,846","28,517","28,746"
" Alcorn County, Mississippi","34,746","34,733","34,398","34,147","34,135"
" Amite County, Mississippi","12,721","12,700","12,622","12,559","12,442"
" Attala County, Mississippi","17,886","17,818","17,715","17,530","17,359"
" Benton County, Mississippi","7,646","7,664","7,638","7,556","7,438"
" Bolivar County, Mississippi","30,980","30,835","30,201","29,461","28,968"
" Calhoun County, Mississippi","13,263","13,219","12,961","12,846","12,685"
" Carroll County, Mississippi","9,999","9,934","9,822","9,736","9,535"
" Chickasaw County, Mississippi","17,110","17,086","17,007","16,863","16,866"
" Choctaw County, Mississippi","8,249","8,211","8,137","8,095","8,088"
" Claiborne County, Mississippi","9,135","9,097","8,886","8,775","8,617"
" Clarke County, Mississippi","15,610","15,545","15,415","15,203","15,228"
" Clay County, Mississippi","18,633","18,622","18,481","18,311","18,206"
" Coahoma County, Mississippi","21,385","21,224","20,721","20,235","20,077"
" Copiah County, Mississippi","28,369","28,270","27,922","27,712","27,664"
" Covington County, Mississippi","18,335","18,295","18,273","18,142","18,059"
" DeSoto County, Mississippi","185,312","186,122","189,004","191,144","193,247"
" Forrest County, Mississippi","78,162","78,189","77,869","77,976","78,208"
" Franklin County, Mississippi","7,681","7,665","7,687","7,611","7,610"
" George County, Mississippi","24,347","24,364","24,788","25,199","25,619"
" Greene County, Mississippi","13,540","13,538","13,648","13,566","13,601"
" Grenada County, Mississippi","21,629","21,577","21,330","21,134","21,065"
" Hancock County, Mississippi","46,048","46,123","46,005","46,007","46,159"
" Harrison County, Mississippi","208,620","208,809","209,485","210,443","210,612"
" Hinds County, Mississippi","227,741","226,765","222,464","217,555","214,870"
" Holmes County, Mississippi","17,003","16,882","16,508","16,111","15,777"
" Humphreys County, Mississippi","7,795","7,740","7,566","7,354","7,216"
" Issaquena County, Mississippi","1,338","1,328","1,294","1,262","1,256"
" Itawamba County, Mississippi","23,862","23,865","23,885","23,971","24,093"
" Jackson County, Mississippi","143,245","143,373","144,459","144,963","146,389"
" Jasper County, Mississippi","16,367","16,350","16,232","16,077","16,013"
" Jefferson County, Mississippi","7,256","7,245","7,136","7,067","6,941"
" Jefferson Davis County, Mississippi","11,320","11,269","11,163","11,079","10,969"
" Jones County, Mississippi","67,244","67,163","66,813","66,440","66,250"
" Kemper County, Mississippi","8,983","8,960","8,801","8,670","8,584"
" Lafayette County, Mississippi","55,814","55,913","56,902","57,730","58,467"
" Lamar County, Mississippi","64,219","64,389","65,409","65,746","66,217"
" Lauderdale County, Mississippi","72,981","72,675","71,937","71,142","70,527"
" Lawrence County, Mississippi","12,011","11,979","11,781","11,761","11,741"
" Leake County, Mississippi","21,272","21,246","21,260","21,203","21,258"
" Lee County, Mississippi","83,351","83,323","83,008","82,824","82,799"
" Leflore County, Mississippi","28,342","28,188","27,425","26,664","26,378"
" Lincoln County, Mississippi","34,907","34,828","34,939","34,764","34,702"
" Lowndes County, Mississippi","58,881","58,777","58,160","57,671","57,283"
" Madison County, Mississippi","109,152","109,266","109,991","111,271","112,511"
" Marion County, Mississippi","24,439","24,375","24,304","24,166","24,224"
" Marshall County, Mississippi","33,753","33,781","33,755","33,905","34,123"
" Monroe County, Mississippi","34,177","34,139","33,922","33,568","33,609"
" Montgomery County, Mississippi","9,819","9,794","9,699","9,563","9,600"
" Neshoba County, Mississippi","29,092","28,991","28,908","28,804","28,789"
" Newton County, Mississippi","21,294","21,256","21,120","21,023","21,019"
" Noxubee County, Mississippi","10,279","10,229","10,116","10,000","9,914"
